data transacao;data pagamento prevista;data pagamento;numero unico;nsu;cnpj;adquirente;bandeira;natureza;valor bruto;valor liquido;mdr;mdr adquirente;resultado;total parcelas;numero parcela;antecipada
2020-05-15;2020-06-14;2020-06-14;d9f67132-1400-11eb-986c-3cf0113c8263;"=""762178412671018""";9865;Rede;Mastercard;credito;650,24;637,3;12,94;5,85;7,09;0;1;0
2020-03-13;2020-04-12;2020-04-12;d9f67134-1400-11eb-ae67-3cf0113c8263;"=""49514162105769""";9920;Rede;Visa;credito;735,15;720,52;14,63;6,62;8,01;0;1;0
2020-06-24;2020-07-24;2020-07-24;d9f67136-1400-11eb-8f24-3cf0113c8263;"=""39867233456786""";1662;Global;Visa;credito;73,82;72,35;1,47;0,66;0,81;0;1;0
2020-09-30;2020-10-30;;d9f684c0-1400-11eb-93e0-3cf0113c8263;"=""67012622276161""";9772;Rede;Elo;parcelado;204,33;199,45;4,88;3,6;1,28;2;1;0
2020-09-30;2020-11-29;;d9f684c2-1400-11eb-ad68-3cf0113c8263;"=""67012622276161""";9772;Rede;Elo;parcelado;204,33;199,45;4,88;3,6;1,28;2;2;0
2020-05-21;2020-06-20;2020-05-21;d9f684c6-1400-11eb-a918-3cf0113c8263;"=""232069244889164""";3332;Rede;Visa;parcelado;865,2;841,93;23,27;17,22;6,05;11;1;1
2020-05-21;2020-07-20;2020-05-21;d9f684c8-1400-11eb-a914-3cf0113c8263;"=""232069244889164""";3332;Rede;Visa;parcelado;865,2;841,93;23,27;17,22;6,05;11;2;1
2020-05-21;2020-08-19;2020-05-21;d9f684ca-1400-11eb-ba20-3cf0113c8263;"=""232069244889164""";3332;Rede;Visa;parcelado;865,2;841,93;23,27;17,22;6,05;11;3;1
2020-05-21;2020-09-18;2020-05-21;d9f684cc-1400-11eb-93e7-3cf0113c8263;"=""232069244889164""";3332;Rede;Visa;parcelado;865,2;841,93;23,27;17,22;6,05;11;4;1
2020-05-21;2020-10-18;2020-05-21;d9f684ce-1400-11eb-8b21-3cf0113c8263;"=""232069244889164""";3332;Rede;Visa;parcelado;865,2;841,93;23,27;17,22;6,05;11;5;1
2020-05-21;2020-11-17;2020-05-21;d9f684d0-1400-11eb-abb2-3cf0113c8263;"=""232069244889164""";3332;Rede;Visa;parcelado;865,2;841,93;23,27;17,22;6,05;11;6;1
2020-05-21;2020-12-17;2020-05-21;d9f684d2-1400-11eb-94a9-3cf0113c8263;"=""232069244889164""";3332;Rede;Visa;parcelado;865,2;841,93;23,27;17,22;6,05;11;7;1
2020-05-21;2021-01-16;2020-05-21;d9f684d4-1400-11eb-8732-3cf0113c8263;"=""232069244889164""";3332;Rede;Visa;parcelado;865,2;841,93;23,27;17,22;6,05;11;8;1
2020-05-21;2021-02-15;2020-05-21;d9f684d6-1400-11eb-8d1d-3cf0113c8263;"=""232069244889164""";3332;Rede;Visa;parcelado;865,2;841,93;23,27;17,22;6,05;11;9;1
2020-05-21;2021-03-17;2020-05-21;d9f684d8-1400-11eb-b287-3cf0113c8263;"=""232069244889164""";3332;Rede;Visa;parcelado;865,2;841,93;23,27;17,22;6,05;11;10;1
2020-05-21;2021-04-16;2020-05-21;d9f684da-1400-11eb-ab4a-3cf0113c8263;"=""232069244889164""";3332;Rede;Visa;parcelado;865,2;841,93;23,27;17,22;6,05;11;11;1
2020-06-21;2020-07-21;2020-07-21;d9f69849-1400-11eb-afb7-3cf0113c8263;"=""589748824223913""";216;Global;Elo;parcelado;921,72;896,93;24,79;18,34;6,45;11;1;0
2020-06-21;2020-08-20;2020-08-20;d9f6984b-1400-11eb-b06c-3cf0113c8263;"=""589748824223913""";216;Global;Elo;parcelado;921,72;896,93;24,79;18,34;6,45;11;2;0
2020-06-21;2020-09-19;2020-09-19;d9f6984d-1400-11eb-8638-3cf0113c8263;"=""589748824223913""";216;Global;Elo;parcelado;921,72;896,93;24,79;18,34;6,45;11;3;0
2020-06-21;2020-10-19;2020-10-19;d9f6984f-1400-11eb-8922-3cf0113c8263;"=""589748824223913""";216;Global;Elo;parcelado;921,72;896,93;24,79;18,34;6,45;11;4;0
2020-06-21;2020-11-18;;d9f69851-1400-11eb-a784-3cf0113c8263;"=""589748824223913""";216;Global;Elo;parcelado;921,72;896,93;24,79;18,34;6,45;11;5;0
2020-06-21;2020-12-18;;d9f69853-1400-11eb-bf91-3cf0113c8263;"=""589748824223913""";216;Global;Elo;parcelado;921,72;896,93;24,79;18,34;6,45;11;6;0
2020-06-21;2021-01-17;;d9f69855-1400-11eb-9f3b-3cf0113c8263;"=""589748824223913""";216;Global;Elo;parcelado;921,72;896,93;24,79;18,34;6,45;11;7;0
2020-06-21;2021-02-16;;d9f69857-1400-11eb-9a76-3cf0113c8263;"=""589748824223913""";216;Global;Elo;parcelado;921,72;896,93;24,79;18,34;6,45;11;8;0
2020-06-21;2021-03-18;;d9f69859-1400-11eb-a588-3cf0113c8263;"=""589748824223913""";216;Global;Elo;parcelado;921,72;896,93;24,79;18,34;6,45;11;9;0
2020-06-21;2021-04-17;;d9f6985b-1400-11eb-a206-3cf0113c8263;"=""589748824223913""";216;Global;Elo;parcelado;921,72;896,93;24,79;18,34;6,45;11;10;0
2020-06-21;2021-05-17;;d9f6985d-1400-11eb-9ff9-3cf0113c8263;"=""589748824223913""";216;Global;Elo;parcelado;921,72;896,93;24,79;18,34;6,45;11;11;0
2020-10-01;2020-10-02;2020-10-02;d9f6985f-1400-11eb-8a0b-3cf0113c8263;"=""871953389021108""";9184;Rede;Mastercard;debito;343,94;340,5;3,44;1,72;1,72;0;1;0
2020-05-07;2020-06-06;2020-06-06;d9f6abd6-1400-11eb-ab6e-3cf0113c8263;"=""641544716680971""";4716;Global;Visa;parcelado;732,39;714,89;17,5;12,89;4,61;5;1;0
2020-05-07;2020-07-06;2020-07-06;d9f6abd8-1400-11eb-a4f0-3cf0113c8263;"=""641544716680971""";4716;Global;Visa;parcelado;732,39;714,89;17,5;12,89;4,61;5;2;0
2020-05-07;2020-08-05;2020-08-05;d9f6abda-1400-11eb-99ea-3cf0113c8263;"=""641544716680971""";4716;Global;Visa;parcelado;732,39;714,89;17,5;12,89;4,61;5;3;0
2020-05-07;2020-09-04;2020-09-04;d9f6abdc-1400-11eb-b724-3cf0113c8263;"=""641544716680971""";4716;Global;Visa;parcelado;732,39;714,89;17,5;12,89;4,61;5;4;0
2020-05-07;2020-10-04;2020-10-04;d9f6abde-1400-11eb-b93d-3cf0113c8263;"=""641544716680971""";4716;Global;Visa;parcelado;732,39;714,89;17,5;12,89;4,61;5;5;0
2020-07-30;2020-08-29;2020-08-29;d9f6abe0-1400-11eb-a174-3cf0113c8263;"=""789322620692564""";5478;Rede;Visa;credito;652,57;639,58;12,99;5,87;7,12;0;1;0
2020-09-26;2020-10-26;;d9f6bf55-1400-11eb-a262-3cf0113c8263;"=""51345372592990""";9297;Global;Mastercard;parcelado;169,57;165,01;4,56;3,37;1,19;8;1;0
2020-09-26;2020-11-25;;d9f6bf57-1400-11eb-97e9-3cf0113c8263;"=""51345372592990""";9297;Global;Mastercard;parcelado;169,57;165,01;4,56;3,37;1,19;8;2;0
2020-09-26;2020-12-25;;d9f6bf59-1400-11eb-97e1-3cf0113c8263;"=""51345372592990""";9297;Global;Mastercard;parcelado;169,57;165,01;4,56;3,37;1,19;8;3;0
2020-09-26;2021-01-24;;d9f6bf5b-1400-11eb-a573-3cf0113c8263;"=""51345372592990""";9297;Global;Mastercard;parcelado;169,57;165,01;4,56;3,37;1,19;8;4;0
2020-09-26;2021-02-23;;d9f6bf5d-1400-11eb-adca-3cf0113c8263;"=""51345372592990""";9297;Global;Mastercard;parcelado;169,57;165,01;4,56;3,37;1,19;8;5;0
2020-09-26;2021-03-25;;d9f6bf5f-1400-11eb-a962-3cf0113c8263;"=""51345372592990""";9297;Global;Mastercard;parcelado;169,57;165,01;4,56;3,37;1,19;8;6;0
2020-09-26;2021-04-24;;d9f6bf61-1400-11eb-aa26-3cf0113c8263;"=""51345372592990""";9297;Global;Mastercard;parcelado;169,57;165,01;4,56;3,37;1,19;8;7;0
2020-09-26;2021-05-24;;d9f6bf63-1400-11eb-aace-3cf0113c8263;"=""51345372592990""";9297;Global;Mastercard;parcelado;169,57;165,01;4,56;3,37;1,19;8;8;0
2020-05-08;2020-06-07;2020-06-07;d9f6bf65-1400-11eb-bfea-3cf0113c8263;"=""701506486674584""";9895;Rede;Elo;credito;333,39;326,76;6,63;3,0;3,63;0;1;0
2020-07-04;2020-07-05;2020-07-05;d9f6d2dc-1400-11eb-a8a9-3cf0113c8263;"=""839801194096099""";2138;Rede;Elo;debito;323,0;319,77;3,23;1,61;1,62;0;1;0
2020-06-19;2020-07-19;2020-06-19;d9f6d2e0-1400-11eb-af14-3cf0113c8263;"=""702518122413816""";3120;Rede;Visa;parcelado;894,38;870,32;24,06;17,8;6,26;12;1;1
2020-06-19;2020-08-18;2020-06-19;d9f6d2e2-1400-11eb-8833-3cf0113c8263;"=""702518122413816""";3120;Rede;Visa;parcelado;894,38;870,32;24,06;17,8;6,26;12;2;1
2020-06-19;2020-09-17;2020-06-19;d9f6d2e4-1400-11eb-bf70-3cf0113c8263;"=""702518122413816""";3120;Rede;Visa;parcelado;894,38;870,32;24,06;17,8;6,26;12;3;1
2020-06-19;2020-10-17;2020-06-19;d9f6d2e6-1400-11eb-a88f-3cf0113c8263;"=""702518122413816""";3120;Rede;Visa;parcelado;894,38;870,32;24,06;17,8;6,26;12;4;1
2020-06-19;2020-11-16;2020-06-19;d9f6d2e8-1400-11eb-800b-3cf0113c8263;"=""702518122413816""";3120;Rede;Visa;parcelado;894,38;870,32;24,06;17,8;6,26;12;5;1
2020-06-19;2020-12-16;2020-06-19;d9f6d2ea-1400-11eb-af04-3cf0113c8263;"=""702518122413816""";3120;Rede;Visa;parcelado;894,38;870,32;24,06;17,8;6,26;12;6;1
2020-06-19;2021-01-15;2020-06-19;d9f6d2ec-1400-11eb-bada-3cf0113c8263;"=""702518122413816""";3120;Rede;Visa;parcelado;894,38;870,32;24,06;17,8;6,26;12;7;1
2020-06-19;2021-02-14;2020-06-19;d9f6d2ee-1400-11eb-a103-3cf0113c8263;"=""702518122413816""";3120;Rede;Visa;parcelado;894,38;870,32;24,06;17,8;6,26;12;8;1
2020-06-19;2021-03-16;2020-06-19;d9f6d2f0-1400-11eb-aea4-3cf0113c8263;"=""702518122413816""";3120;Rede;Visa;parcelado;894,38;870,32;24,06;17,8;6,26;12;9;1
2020-06-19;2021-04-15;2020-06-19;d9f6d2f2-1400-11eb-92b4-3cf0113c8263;"=""702518122413816""";3120;Rede;Visa;parcelado;894,38;870,32;24,06;17,8;6,26;12;10;1
2020-06-19;2021-05-15;2020-06-19;d9f6e663-1400-11eb-b269-3cf0113c8263;"=""702518122413816""";3120;Rede;Visa;parcelado;894,38;870,32;24,06;17,8;6,26;12;11;1
2020-06-19;2021-06-14;2020-06-19;d9f6e665-1400-11eb-806c-3cf0113c8263;"=""702518122413816""";3120;Rede;Visa;parcelado;894,38;870,32;24,06;17,8;6,26;12;12;1
2020-10-16;2020-10-17;2020-10-17;d9f6e667-1400-11eb-b5b0-3cf0113c8263;"=""529958326511662""";357;Global;Mastercard;debito;882,32;873,5;8,82;4,41;4,41;0;1;0
2020-08-21;2020-09-20;2020-09-20;d9f6e669-1400-11eb-9ba1-3cf0113c8263;"=""464881608721242""";4561;Rede;Mastercard;credito;210,87;206,67;4,2;1,9;2,3;0;1;0
2020-05-24;2020-06-23;2020-05-24;d9f6f9e8-1400-11eb-91d0-3cf0113c8263;"=""65059919092924""";9954;Global;Elo;parcelado;655,55;637,92;17,63;13,05;4,58;11;1;1
2020-05-24;2020-07-23;2020-05-24;d9f6f9ea-1400-11eb-911b-3cf0113c8263;"=""65059919092924""";9954;Global;Elo;parcelado;655,55;637,92;17,63;13,05;4,58;11;2;1
2020-05-24;2020-08-22;2020-05-24;d9f6f9ec-1400-11eb-b0cf-3cf0113c8263;"=""65059919092924""";9954;Global;Elo;parcelado;655,55;637,92;17,63;13,05;4,58;11;3;1
2020-05-24;2020-09-21;2020-05-24;d9f6f9ee-1400-11eb-b219-3cf0113c8263;"=""65059919092924""";9954;Global;Elo;parcelado;655,55;637,92;17,63;13,05;4,58;11;4;1
2020-05-24;2020-10-21;2020-05-24;d9f6f9f0-1400-11eb-9e45-3cf0113c8263;"=""65059919092924""";9954;Global;Elo;parcelado;655,55;637,92;17,63;13,05;4,58;11;5;1
2020-05-24;2020-11-20;2020-05-24;d9f6f9f2-1400-11eb-a9bd-3cf0113c8263;"=""65059919092924""";9954;Global;Elo;parcelado;655,55;637,92;17,63;13,05;4,58;11;6;1
2020-05-24;2020-12-20;2020-05-24;d9f6f9f4-1400-11eb-9b03-3cf0113c8263;"=""65059919092924""";9954;Global;Elo;parcelado;655,55;637,92;17,63;13,05;4,58;11;7;1
2020-05-24;2021-01-19;2020-05-24;d9f6f9f6-1400-11eb-93ed-3cf0113c8263;"=""65059919092924""";9954;Global;Elo;parcelado;655,55;637,92;17,63;13,05;4,58;11;8;1
2020-05-24;2021-02-18;2020-05-24;d9f6f9f8-1400-11eb-b479-3cf0113c8263;"=""65059919092924""";9954;Global;Elo;parcelado;655,55;637,92;17,63;13,05;4,58;11;9;1
2020-05-24;2021-03-20;2020-05-24;d9f6f9fa-1400-11eb-a294-3cf0113c8263;"=""65059919092924""";9954;Global;Elo;parcelado;655,55;637,92;17,63;13,05;4,58;11;10;1
2020-05-24;2021-04-19;2020-05-24;d9f6f9fc-1400-11eb-983d-3cf0113c8263;"=""65059919092924""";9954;Global;Elo;parcelado;655,55;637,92;17,63;13,05;4,58;11;11;1
2020-09-05;2020-09-06;2020-09-06;d9f6f9fe-1400-11eb-8ec0-3cf0113c8263;"=""77955391462166""";2268;Rede;Hiper;debito;345,47;342,02;3,45;1,73;1,72;0;1;0
2020-10-12;2020-10-13;2020-10-13;d9f70d71-1400-11eb-be04-3cf0113c8263;"=""363392247720584""";9559;Global;Elo;debito;561,16;555,55;5,61;2,81;2,8;0;1;0
2020-06-09;2020-06-10;2020-06-10;d9f70d73-1400-11eb-a753-3cf0113c8263;"=""73254135424538""";8569;Rede;Elo;debito;855,42;846,87;8,55;4,28;4,27;0;1;0
2020-07-25;2020-07-26;2020-07-26;d9f70d75-1400-11eb-b693-3cf0113c8263;"=""640686312845181""";5630;Rede;Mastercard;debito;716,63;709,46;7,17;3,58;3,59;0;1;0
2020-07-23;2020-08-22;2020-07-23;d9f70d79-1400-11eb-b18c-3cf0113c8263;"=""214032283083148""";9248;Global;Mastercard;parcelado;67,1;65,3;1,8;1,34;0,46;12;1;1
2020-07-23;2020-09-21;2020-07-23;d9f720fc-1400-11eb-bbc3-3cf0113c8263;"=""214032283083148""";9248;Global;Mastercard;parcelado;67,1;65,3;1,8;1,34;0,46;12;2;1
2020-07-23;2020-10-21;2020-07-23;d9f720fe-1400-11eb-b948-3cf0113c8263;"=""214032283083148""";9248;Global;Mastercard;parcelado;67,1;65,3;1,8;1,34;0,46;12;3;1
2020-07-23;2020-11-20;2020-07-23;d9f72100-1400-11eb-bea3-3cf0113c8263;"=""214032283083148""";9248;Global;Mastercard;parcelado;67,1;65,3;1,8;1,34;0,46;12;4;1
2020-07-23;2020-12-20;2020-07-23;d9f72102-1400-11eb-bc70-3cf0113c8263;"=""214032283083148""";9248;Global;Mastercard;parcelado;67,1;65,3;1,8;1,34;0,46;12;5;1
2020-07-23;2021-01-19;2020-07-23;d9f72104-1400-11eb-ad22-3cf0113c8263;"=""214032283083148""";9248;Global;Mastercard;parcelado;67,1;65,3;1,8;1,34;0,46;12;6;1
2020-07-23;2021-02-18;2020-07-23;d9f72106-1400-11eb-9699-3cf0113c8263;"=""214032283083148""";9248;Global;Mastercard;parcelado;67,1;65,3;1,8;1,34;0,46;12;7;1
2020-07-23;2021-03-20;2020-07-23;d9f72108-1400-11eb-b914-3cf0113c8263;"=""214032283083148""";9248;Global;Mastercard;parcelado;67,1;65,3;1,8;1,34;0,46;12;8;1
2020-07-23;2021-04-19;2020-07-23;d9f7210a-1400-11eb-b2f4-3cf0113c8263;"=""214032283083148""";9248;Global;Mastercard;parcelado;67,1;65,3;1,8;1,34;0,46;12;9;1
2020-07-23;2021-05-19;2020-07-23;d9f7210c-1400-11eb-9b5f-3cf0113c8263;"=""214032283083148""";9248;Global;Mastercard;parcelado;67,1;65,3;1,8;1,34;0,46;12;10;1
2020-07-23;2021-06-18;2020-07-23;d9f7210e-1400-11eb-9233-3cf0113c8263;"=""214032283083148""";9248;Global;Mastercard;parcelado;67,1;65,3;1,8;1,34;0,46;12;11;1
2020-07-23;2021-07-18;2020-07-23;d9f72110-1400-11eb-acbf-3cf0113c8263;"=""214032283083148""";9248;Global;Mastercard;parcelado;67,1;65,3;1,8;1,34;0,46;12;12;1
2020-04-03;2020-04-04;2020-04-04;d9f72112-1400-11eb-8eff-3cf0113c8263;"=""20291385552617""";9117;Global;Elo;debito;807,74;799,66;8,08;4,04;4,04;0;1;0
2020-10-14;2020-10-15;2020-10-15;d9f73485-1400-11eb-a35e-3cf0113c8263;"=""492772985335198""";9588;Rede;Visa;debito;367,14;363,47;3,67;1,84;1,83;0;1;0
2020-10-15;2020-10-16;2020-10-16;d9f73487-1400-11eb-a4f9-3cf0113c8263;"=""996238972527435""";1948;Global;Hiper;debito;212,82;210,69;2,13;1,06;1,07;0;1;0
2020-07-21;2020-08-20;2020-08-20;d9f7348b-1400-11eb-8feb-3cf0113c8263;"=""147142694861084""";6193;Global;Visa;parcelado;107,76;105,18;2,58;1,9;0,68;4;1;0
2020-07-21;2020-09-19;2020-09-19;d9f7348d-1400-11eb-956c-3cf0113c8263;"=""147142694861084""";6193;Global;Visa;parcelado;107,76;105,18;2,58;1,9;0,68;4;2;0
2020-07-21;2020-10-19;2020-10-19;d9f7348f-1400-11eb-bd52-3cf0113c8263;"=""147142694861084""";6193;Global;Visa;parcelado;107,76;105,18;2,58;1,9;0,68;4;3;0
2020-07-21;2020-11-18;;d9f73491-1400-11eb-9a6f-3cf0113c8263;"=""147142694861084""";6193;Global;Visa;parcelado;107,76;105,18;2,58;1,9;0,68;4;4;0
2020-08-21;2020-08-22;2020-08-22;d9f7480f-1400-11eb-9dba-3cf0113c8263;"=""901195647469318""";8116;Global;Elo;debito;650,85;644,34;6,51;3,25;3,26;0;1;0
2020-05-13;2020-06-12;2020-06-12;d9f74811-1400-11eb-862c-3cf0113c8263;"=""455939348398915""";5214;Global;Visa;credito;895,32;877,5;17,82;8,06;9,76;0;1;0
2020-08-17;2020-09-16;2020-09-16;d9f74813-1400-11eb-b44b-3cf0113c8263;"=""395859512693585""";7707;Rede;Mastercard;credito;67,28;65,94;1,34;0,61;0,73;0;1;0
2020-03-13;2020-04-12;2020-04-12;d9f75b92-1400-11eb-b557-3cf0113c8263;"=""443312206120506""";7548;Global;Elo;parcelado;922,67;897,85;24,82;18,36;6,46;9;1;0
2020-03-13;2020-05-12;2020-05-12;d9f75b94-1400-11eb-aabd-3cf0113c8263;"=""443312206120506""";7548;Global;Elo;parcelado;922,67;897,85;24,82;18,36;6,46;9;2;0
2020-03-13;2020-06-11;2020-06-11;d9f75b96-1400-11eb-b7d7-3cf0113c8263;"=""443312206120506""";7548;Global;Elo;parcelado;922,67;897,85;24,82;18,36;6,46;9;3;0
2020-03-13;2020-07-11;2020-07-11;d9f75b98-1400-11eb-b5d4-3cf0113c8263;"=""443312206120506""";7548;Global;Elo;parcelado;922,67;897,85;24,82;18,36;6,46;9;4;0
2020-03-13;2020-08-10;2020-08-10;d9f75b9a-1400-11eb-9b4a-3cf0113c8263;"=""443312206120506""";7548;Global;Elo;parcelado;922,67;897,85;24,82;18,36;6,46;9;5;0
2020-03-13;2020-09-09;2020-09-09;d9f75b9c-1400-11eb-ae8a-3cf0113c8263;"=""443312206120506""";7548;Global;Elo;parcelado;922,67;897,85;24,82;18,36;6,46;9;6;0
2020-03-13;2020-10-09;2020-10-09;d9f75b9e-1400-11eb-8aba-3cf0113c8263;"=""443312206120506""";7548;Global;Elo;parcelado;922,67;897,85;24,82;18,36;6,46;9;7;0
2020-03-13;2020-11-08;;d9f75ba0-1400-11eb-ad8b-3cf0113c8263;"=""443312206120506""";7548;Global;Elo;parcelado;922,67;897,85;24,82;18,36;6,46;9;8;0
2020-03-13;2020-12-08;;d9f75ba2-1400-11eb-87c9-3cf0113c8263;"=""443312206120506""";7548;Global;Elo;parcelado;922,67;897,85;24,82;18,36;6,46;9;9;0
2020-07-05;2020-07-06;2020-07-06;d9f75ba4-1400-11eb-b9bc-3cf0113c8263;"=""688957966111008""";6985;Rede;Elo;debito;845,61;837,15;8,46;4,23;4,23;0;1;0
2020-07-19;2020-08-18;2020-07-19;d9f76f19-1400-11eb-9aaf-3cf0113c8263;"=""87112103198090""";2981;Global;Hiper;parcelado;340,08;331,95;8,13;5,99;2,14;2;1;1
2020-07-19;2020-09-17;2020-07-19;d9f76f1b-1400-11eb-881b-3cf0113c8263;"=""87112103198090""";2981;Global;Hiper;parcelado;340,08;331,95;8,13;5,99;2,14;2;2;1
2020-08-27;2020-08-28;2020-08-28;d9f76f1d-1400-11eb-a7a5-3cf0113c8263;"=""51289916022468""";2086;Rede;Hiper;debito;56,04;55,48;0,56;0,28;0,28;0;1;0
2020-05-16;2020-05-17;2020-05-17;d9f76f1f-1400-11eb-bfad-3cf0113c8263;"=""950031169889282""";2480;Global;Mastercard;debito;626,59;620,32;6,27;3,13;3,14;0;1;0
2020-03-29;2020-04-28;2020-03-29;d9f76f23-1400-11eb-aa64-3cf0113c8263;"=""2084036515255""";9802;Rede;Hiper;parcelado;107,89;104,99;2,9;2,15;0,75;9;1;1
2020-03-29;2020-05-28;2020-03-29;d9f76f25-1400-11eb-9e11-3cf0113c8263;"=""2084036515255""";9802;Rede;Hiper;parcelado;107,89;104,99;2,9;2,15;0,75;9;2;1
2020-03-29;2020-06-27;2020-03-29;d9f782a3-1400-11eb-8e95-3cf0113c8263;"=""2084036515255""";9802;Rede;Hiper;parcelado;107,89;104,99;2,9;2,15;0,75;9;3;1
2020-03-29;2020-07-27;2020-03-29;d9f782a5-1400-11eb-82af-3cf0113c8263;"=""2084036515255""";9802;Rede;Hiper;parcelado;107,89;104,99;2,9;2,15;0,75;9;4;1
2020-03-29;2020-08-26;2020-03-29;d9f782a7-1400-11eb-9716-3cf0113c8263;"=""2084036515255""";9802;Rede;Hiper;parcelado;107,89;104,99;2,9;2,15;0,75;9;5;1
2020-03-29;2020-09-25;2020-03-29;d9f782a9-1400-11eb-80c7-3cf0113c8263;"=""2084036515255""";9802;Rede;Hiper;parcelado;107,89;104,99;2,9;2,15;0,75;9;6;1
2020-03-29;2020-10-25;2020-03-29;d9f782ab-1400-11eb-b252-3cf0113c8263;"=""2084036515255""";9802;Rede;Hiper;parcelado;107,89;104,99;2,9;2,15;0,75;9;7;1
2020-03-29;2020-11-24;2020-03-29;d9f782ad-1400-11eb-84ad-3cf0113c8263;"=""2084036515255""";9802;Rede;Hiper;parcelado;107,89;104,99;2,9;2,15;0,75;9;8;1
2020-03-29;2020-12-24;2020-03-29;d9f782af-1400-11eb-b0e7-3cf0113c8263;"=""2084036515255""";9802;Rede;Hiper;parcelado;107,89;104,99;2,9;2,15;0,75;9;9;1
